ts_code,hold_ratio,top_10_d_r
002267.SZ,72.55999999999997,72.55999999999997
002268.SZ,50.48000000000001,50.48000000000001
002269.SZ,74.61000000000001,74.61000000000001
002270.SZ,53.47000000000001,53.47000000000001
002271.SZ,49.44000000000001,49.44000000000001
002272.SZ,36.56,36.56
002273.SZ,28.87,28.87
002274.SZ,46.98,46.98
002275.SZ,79.84,79.84
002276.SZ,36.54,36.54
002277.SZ,43.6,43.6
002278.SZ,46.02000000000001,46.02000000000001
002279.SZ,38.08,38.08
002280.SZ,23.53,23.53
002281.SZ,54.98,54.98
002282.SZ,64.56,64.56
002283.SZ,40.6,40.6
002284.SZ,46.39,46.39
002285.SZ,60.61000000000001,60.61000000000001
002286.SZ,55.67,55.67
002287.SZ,88.63,88.63
002288.SZ,30.73,30.73
002289.SZ,48.8,48.8
002290.SZ,65.41,65.41
002291.SZ,52.15000000000001,52.15000000000001
002292.SZ,58.53,58.53
002293.SZ,64.21,64.21
002294.SZ,72.72,72.72
002295.SZ,51.91,51.91
002296.SZ,26.37,26.37
002297.SZ,41.94000000000001,41.94000000000001
002298.SZ,41.68,41.68
002299.SZ,45.37,45.37
002300.SZ,64.64,64.64
002301.SZ,57.13,57.13
002302.SZ,65.74,65.74
002303.SZ,51.92999999999999,51.92999999999999
002304.SZ,80.92,80.92
002305.SZ,53.64,53.64
002306.SZ,30.52000000000001,30.52000000000001
002307.SZ,57.5,57.5
002308.SZ,43.13,43.13
002309.SZ,57.39,57.39
002310.SZ,47.98,47.98
002311.SZ,65.49,65.49
002312.SZ,30.69,30.69
002313.SZ,58.18000000000001,58.18000000000001
002314.SZ,82.36,82.36
002315.SZ,66.58999999999999,66.58999999999999
002316.SZ,46.10999999999999,46.10999999999999
002317.SZ,37.6,37.6
002318.SZ,50.96000000000001,50.96000000000001
002319.SZ,42.13,42.13
002320.SZ,75.10000000000002,75.10000000000002
002321.SZ,23.13,23.13
002322.SZ,56.03999999999999,56.03999999999999
002323.SZ,72.28,72.28
002324.SZ,49.08,49.08
002325.SZ,43.05,43.05
002326.SZ,40.25,40.25
002327.SZ,66.88,66.88
002328.SZ,41.8,41.8
002329.SZ,48.86,48.86
002330.SZ,70.36999999999998,70.36999999999998
002331.SZ,51.74,51.74
002332.SZ,38.33000000000001,38.33000000000001
002333.SZ,73.80000000000003,73.80000000000003
002334.SZ,29.5,29.5
002335.SZ,57.56,57.56
002336.SZ,78.5,78.5
002337.SZ,39.67,39.67
002338.SZ,56.61,56.61
002339.SZ,39.82,39.82
002340.SZ,23.130000000000006,23.130000000000006
002341.SZ,41.88,41.88
002342.SZ,38.59,38.59
002343.SZ,42.71000000000001,42.71000000000001
002344.SZ,60.24,60.24
