ts_code,hold_ratio,top10_d_r
000900.SZ,47.19,47.19
000901.SZ,39.1,39.1
000902.SZ,64.67999999999999,64.67999999999999
000903.SZ,44.36,44.36
000905.SZ,63.29,63.29
000906.SZ,61.6,61.6
000908.SZ,43.15,43.15
000909.SZ,54.2,54.2
000910.SZ,66.52,66.52
000911.SZ,51.05,51.05
000912.SZ,65.78999999999999,65.78999999999999
000913.SZ,55.910000000000004,55.910000000000004
000915.SZ,37.8,37.8
000917.SZ,24.790000000000003,24.790000000000003
000918.SZ,70.24000000000001,70.24000000000001
000919.SZ,61.929999999999986,61.929999999999986
000920.SZ,52.949999999999996,52.949999999999996
000921.SZ,89.16,89.16
000922.SZ,47.0,47.0
000923.SZ,56.15,56.15
000925.SZ,31.54,31.54
000926.SZ,35.03,35.03
000927.SZ,68.35,68.35
000928.SZ,59.36,59.36
000929.SZ,41.17,41.17
000930.SZ,59.83,59.83
000931.SZ,44.029999999999994,44.029999999999994
000932.SZ,76.78000000000002,76.78000000000002
000933.SZ,37.91,37.91
000935.SZ,71.13000000000001,71.13000000000001
000936.SZ,44.7,44.7
000937.SZ,75.2,75.2
000938.SZ,67.45,67.45
000948.SZ,50.24,50.24
000949.SZ,57.309999999999995,57.309999999999995
000950.SZ,79.79,79.79
000951.SZ,77.21000000000001,77.21000000000001
000952.SZ,39.72,39.72
000953.SZ,57.46,57.46
000955.SZ,18.689999999999998,18.689999999999998
000957.SZ,47.720000000000006,47.720000000000006
000958.SZ,88.25999999999999,88.25999999999999
000959.SZ,88.72999999999999,88.72999999999999
000960.SZ,54.36000000000001,54.36000000000001
000961.SZ,64.47000000000001,64.47000000000001
000962.SZ,55.879999999999995,55.879999999999995
000963.SZ,64.66,64.66
000965.SZ,55.45,55.45
000966.SZ,54.23,54.23
000967.SZ,75.06,75.06
000968.SZ,75.69999999999999,75.69999999999999
000969.SZ,46.9,46.9
000970.SZ,38.74,38.74
000971.SZ,43.02,43.02
000972.SZ,47.48999999999999,47.48999999999999
000973.SZ,31.580000000000002,31.580000000000002
000975.SZ,60.14,60.14
000976.SZ,41.150000000000006,41.150000000000006
000977.SZ,41.33,41.33
000978.SZ,40.54,40.54
000980.SZ,62.94,62.94
000981.SZ,79.83,79.83
000982.SZ,54.57999999999999,54.57999999999999
000983.SZ,63.64000000000001,63.64000000000001
000985.SZ,67.95,67.95
000987.SZ,82.57000000000001,82.57000000000001
000988.SZ,35.59,35.59
000989.SZ,65.13000000000001,65.13000000000001
000990.SZ,77.01,77.01
000993.SZ,64.24000000000001,64.24000000000001
000996.SZ,22.919999999999998,22.919999999999998
000997.SZ,40.480000000000004,40.480000000000004
000998.SZ,39.279999999999994,39.279999999999994
000999.SZ,78.74,78.74
001696.SZ,45.720000000000006,45.720000000000006
001872.SZ,149.72,149.72
001896.SZ,64.2,64.2
001914.SZ,71.74000000000001,71.74000000000001
001965.SZ,94.92,94.92
001979.SZ,82.35999999999999,82.35999999999999
002001.SZ,57.58,57.58
002002.SZ,37.1595,37.1595
002003.SZ,51.71,51.71
002004.SZ,42.480000000000004,42.480000000000004
002005.SZ,45.38,45.38
002006.SZ,44.379999999999995,44.379999999999995
002007.SZ,58.59,58.59
002008.SZ,49.24,49.24
002009.SZ,37.42,37.42
002010.SZ,75.7,75.7
002011.SZ,47.61,47.61
002012.SZ,24.360000000000003,24.360000000000003
002013.SZ,61.559999999999995,61.559999999999995
002014.SZ,69.41,69.41
002015.SZ,79.57000000000001,79.57000000000001
002016.SZ,78.69,78.69
002017.SZ,48.11,48.11
002019.SZ,50.22,50.22
002020.SZ,43.169999999999995,43.169999999999995
002021.SZ,46.68000000000001,46.68000000000001
002022.SZ,18.62,18.62
002023.SZ,29.65,29.65
002024.SZ,73.22,73.22
002025.SZ,55.72,55.72
002026.SZ,48.400000000000006,48.400000000000006
002027.SZ,45.25000000000001,45.25000000000001
002028.SZ,47.14,47.14
002029.SZ,55.24999999999999,55.24999999999999
002030.SZ,42.269999999999996,42.269999999999996
002031.SZ,31.76,31.76
002032.SZ,94.02,94.02
002033.SZ,52.959999999999994,52.959999999999994
002034.SZ,68.47999999999999,68.47999999999999
002035.SZ,41.76,41.76
002036.SZ,30.360000000000003,30.360000000000003
002037.SZ,58.88000000000001,58.88000000000001
002038.SZ,48.98,48.98
002039.SZ,49.529999999999994,49.529999999999994
002040.SZ,70.38999999999999,70.38999999999999
002041.SZ,68.00000000000001,68.00000000000001
002042.SZ,68.25999999999999,68.25999999999999
002043.SZ,53.41,53.41
